,ID,Event Name,Publication Status 4,Fourth DOI #,Publication Status 5,Fifth DOI #,Publication Status 6,Sixth DOI #,Publication Status 7,Seventh DOI #,Publication Status 8,Eighth DOI #,Publication Status 9,Ninth DOI #,Publication Status 10,Tenth DOI #,Pedal Non-Peer Pubs,Other Accomplishments,Health Benefits,International,National,Local,General Public,Healthcare Professionals,Patients,Patient Families,Health Benefits Description,Policy Influence,International (pol),National (pol),Local (pol),General Public (pol),Healthcare Professionals (pol),Patients (pol),Patient Families (pol),Policy Benefits Description,Economic Benefits,International (econ),National (econ),Local (econ),General Public (econ),Healthcare Professionals (econ),Patients (econ),Patient Families (econ),Economic Benefits Description,Equity Benefits,International (equity),National (equity),Local (equity),General Public (equity),Healthcare Professionals (equity),Patients (equity),Patient Families (equity),Equity Benefits Description,Additional Funding Achieved,First AFS Status,First AFS Name and Project Title,First AFS Amount,Second AFS Status,Second AFS Name and Project Title,Second AFS Amount,Third AFS Status,Third AFS Name and Project Title,Third AGS Amount,Fourth AFS Status,Fourth AFS Name and Project Title,Fourth AFS Amount,Additional Funding Source #5 Agency/Sponsor Name and Project Title,Fifth AFS Status,Fifth AFS Amount,Additional Pedal Funding Impact,Additional Funding Benefits Description,Additional Pedal Funding Impact (clinical stages),Additional Funding Benefits Description (clinical stages),Participated in Pedal,Further Research Contributions,Success Stories,Major Scientific Breakthroughs,Additional Comments,Complete,Publication Status 1,First DOI #,Publication Status 2,Second DOI #,Publication Status 3,Third DOI #
10,14.0,Progress Report #1,,,,,,,,,,,,,,,,,Yes,True,True,False,False,False,True,False,We expect that we will be able to use the organoids to define molecular features of chronic pancreatitis that predict progression to cancer. These can potentially be used for early diagnosis or prevention/treatment.,No,False,False,False,False,False,False,False,,No,False,False,False,False,False,False,False,,No,False,False,False,False,False,False,False,,No additional funding sources,,,,,,,,,,,,,,,,Yes,"We still have a lot of work to do. COVID did slow the rate of tissue acquisition.  Now that we have learned that pancreatic fluid is actually a better source of organoids than tissue, we have started enrolling patients undergoing endoscopic drainage, which will further increase the rate at which we can develop this resource.",Yes,Same as above,"Yes, every year.  This is an awesome event.  This year I plan to run instead of bike.",No,No,,Thanks for your support!,True,,,,,,
11,15.0,Progress Report #1,,,,,,,,,,,,,,,,,Yes,True,False,False,False,False,False,False,These studies will find novel therapies to treat childhood cancer.   ,No,False,False,False,False,False,False,False,,No,False,False,False,False,False,False,False,,No,False,False,False,False,False,False,False,,One,Awarded,NIH,1900000.0,,,,,,,,,,,,,Yes,"The funding from Padres Pedal helped in generating preclinical data on Syk inhibitors with radiation. With additional funding, we will study the efficacy of Syk inhibitors with current frontline therapies and will take these studies into clinical trials for neuroblastoma patients. ",Yes, We will use the additional funding to set up clinical trials of Syk inhibitors with frontline therapies of NB. We already have set up a collaboration with the pharma company that owns FDA approved Syk inhibitor and we can easily translate these studies from bench to bedside.,,No,No,,,True,Published,10.3390/cancers13040817,Published,10.1016/j.pharmthera.2022.108114,In progress,
12,16.0,Progress Report #1,,,,,,,,,,,,,,,,,Yes,False,False,False,False,False,True,False,our molecular analysis will benefit patients with newly diagnosed and refractory medulloblastoma and will serve as a model for other tumor types,No,False,False,False,False,False,False,False,,No,False,False,False,False,False,False,False,,No,False,False,False,False,False,False,False,,No additional funding sources,,,,,,,,,,,,,,,,Yes,Additional funds could be utilized to enroll more patients,Yes,The funding would allow for more patients to be enrolled.,It was an amazing experience as a virtual rider due to covid.,Yes,Yes,Yes,I have sincerely appreciated the opportunity to work with Padres Pedal the cause over the years. I have taken a major leadership position at childrens hospital orange county and hope to collaborate with the San Diego group and we will be added as a site and will continue to support the effort.,True,In progress,,,,,
13,17.0,Progress Report #1,In progress,Data Collection/Image Analysis: Strain Analysis,,,,,,,,,,,,,,,Yes,False,False,True,False,True,True,False,Improved screening procedures for childhood cancer survivors at risk for heart failure,No,False,False,False,False,False,False,False,,No,False,False,False,False,False,False,False,,No,False,False,False,False,False,False,False,,No additional funding sources,,,,,,,,,,,,,,,,Yes,"We seek to build upon our results through an analysis of the association of physical activity/exercise with cardiac remodeling and heart function in childhood cancer survivors who received anthracycline therapy. An improved understanding of the role of physical activity will help inform the potential benefit of increased exercise, and a potential exercise intervention. ",Yes,"The goal would be to leverage the additional preliminary data toward understanding the relationship between physical activity/exercise with cardiac remodeling and function, with preliminary results used to gain funding to study an exercise intervention to prevent heart failure n this population.",No but I would like to (please provide me with information),No,No,,I have one grant currently under review (scored in June) and another that will be submitted this summer. Initial submissions were well received but missed paylines. I hope to share positive news with the committee after receiving those results. I also hope to update the committee by the summer/fall with news of further publication(s).,True,Accepted,10.1042/CS20200301,Accepted,10.1182/hematology.2021000268,In progress,Analysis Phase: Conventional MRI analysis
14,18.0,Progress Report #1,,,,,,,,,,,,,,,"Adam K. Fuhs S, Meisenhelder J, Lesperance J, Aslanian A, Diedrich J, Moresco J, La Clair J, Zage P, Yates JR III, Hunter T. A Novel Role for Histidine Kinase Activity in Neuroblastoma Pathogenesis. Presented at the 11th International Congress on NME/NDPK/NM23/AWD gene family; Annecy, France, October 2019    Adam K, Fuhs S, Meisenhelder J, Lesperance J, Aslanian A, Diedrich J, Moresco J, La Clair J, Zage P, Yates JR III, Hunter T. Chasing the not so Elusive Histidine Phosphorylation and Their Signaling in Neuroblastoma. Presented at the 12th Annual World Protein & Peptide Conference, Beijing, China, June 2019    Adam K, Fuhs S, Meisenhelder J, Lesperance J, Aslanian A, Diedrich J, Moresco J, La Clair J, Zage P, Yates JR III, Hunter T. Chasing the not so Elusive Histidine Phosphorylation and Their Signaling in Neuroblastoma.  Presented at the Advances in Biomedical Research III, Split, Croatia, June 2019    Adam K. et al. ""Histidine kinases and the missing phosphoproteome from prokaryotes to eukaryotes."" Presented at the American Society for Biochemistry and Molecular Biology annual meeting, San Diego, CA, 2018",,Yes,True,False,False,False,False,False,False,"We expect our results will confirm the critical role of NME1 in neuroblastoma tumor development, growth, and spread and will serve to identify candidate therapeutic targets for currently available drugs as well as for the development of novel histidine kinase inhibitors that are likely to be effective against a wide range of pediatric and adult tumors.  These novel therapies and treatment approaches would serve to improve outcomes for children with neuroblastoma and other solid tumors worldwide.",No,False,False,False,False,False,False,False,,No,False,False,False,False,False,False,False,,No,False,False,False,False,False,False,False,,Four,Awarded,Hartwell Foundation,300000.0,Submitted,Pediatric Cancer Research Foundation,750000.0,Submitted,NIH R03CA273629-01,150000.0,Planned,NIH R01,2000000.0,none,Submitted,,Yes,"Additional funding support would allow us to pursue studies to further identify and validate NME1-mediated signaling pathways in neuroblastoma preclinical models, to further pursue the functional significance of NME1 and histidine kinase signaling in pediatric tumor development, growth, and spread, and to identify novel candidate targets for therapies directed against targets of NME1 histidine kinase activity",Yes,"Additional funding support would allow us to pursue screening studies at the Sanford Burnham Prebys Medical Discovery Institute to identify candidate histidine kinase inhibitors that could be evaluated and developed as candidate therapeutic agents, eventually leading to animal studies and early phase clinical trials to evaluate the safety and efficacy of histidine kinase inhibitors in children with cancer.",I have participated as both a virtual participant and as a participant in spin classes at Petco Park,Yes,No,,Funding from Padres Pedal the Cause has  been instrumental in building and  maintaining my research laboratory and  scienti#c productivity in San Diego and has  been greatly appreciated!,True,Published,,Submitted,"Zage et al, submitted to EBioMedicine",,
15,20.0,Progress Report #1,,,,,,,,,,,,,,,,"Dr. Field was recruited as an Investigator in the Harrington Discovery Institute, and Director of the Physician-Scientist Scholar-Innovator Award Program of the Harrington Discovery Institute at University Hospitals and Case Western Reserve University.",Yes,True,False,False,False,False,False,False,"It is our goal to develop novel therapeutics, but currently this remains work in progress.",No,False,False,False,False,False,False,False,,No,False,False,False,False,False,False,False,,No,False,False,False,False,False,False,False,,Three,Awarded,NIH/NCI R01CA254397 Mechanism Of Action Of A Novel Golgi-Targeted Anti-Cancer Agent,3310103.0,Awarded,Harrington Discovery Institute Golgi GOLPH3 Pathway Inhibitors as Novel Cancer Therapeutics,3500000.0,Awarded,"V Foundation for Cancer Research, Function of Novel Targets of Phosphoinositides in Oncogenic Transformation",80689.0,,,,,,,Yes,"Development of new direct binding assays, and synthesis of new molecules to further explore SAR to produce more potent compounds with better ADME/PK properties.",Yes,"The goal is to develop compounds that are attractive for commercialization, to enable movement toward clinical use.","Yes, participated as a virtual rider and as a volunteer.",Yes,No,,,True,Published,10.1016/j.devcel.2019.05.038,Submitted,,In progress,
16,21.0,Progress Report #1,,,,,,,,,,,,,,,,New preliminary data for extramural funding,Yes,True,False,False,False,False,False,False,The new marker will be useful to predict the risk of colorectal cancer initiation and progression.,No,False,False,False,False,False,False,False,,No,False,False,False,False,False,False,False,,No,False,False,False,False,False,False,False,,One,Planned,NCI,1500000.0,,,,,,,,,,,,,No,,No,,no,No,No,,,True,Accepted, 10.3390/cells9091980,In progress,,,
17,22.0,Progress Report #1,,,,,,,,,,,,,,,none,,No,False,False,False,False,False,False,False,,No,False,False,False,False,False,False,False,,No,False,False,False,False,False,False,False,,No,False,False,False,False,False,False,False,,One,Awarded,NIH U01CA260700 INVESTIGATING THE EFFECTS OF STRUCTURAL VARIANTS ON 3D GENOME ORGANIZATION AND GENE,67000.0,,,,,,,,,,,,,Yes,"We had a disruption in obtaining gliobastoma samples once Dr. Rich moved from UCSD. We have now established a collaboration with Thomas L. Beaumont, MD, PhD  Assistant Professor of Neurological Surgery  Deputy Director, Moores Cancer Center Biorepository to obtain more tumor samples.",Yes,Additional funds for epigenomics profiling would give us sufficient power to detect recurrent epigenomic features of Gbm.,,,,,,True,,,,,,
18,23.0,Progress Report #1,,,,,,,,,,,,,,,"1. Harismendy O, Howell S: Ad-Seq, a genome-wide DNA-adduct profiling assay. bioRxiv 2018.",,No,False,False,False,False,False,False,False,,No,False,False,False,False,False,False,False,,No,False,False,False,False,False,False,False,,No,False,False,False,False,False,False,False,,No additional funding sources,,,,,,,,,,,,,,,,No,,No,,yes. several times,Yes,No,,Thanks for the great support. It was however not quite sufficient given all the other constraints of my research and position. ,True,,,,,,
19,24.0,Progress Report #1,,,,,,,,,,,,,,,AACR Poster presentation April 2022,,Yes,True,False,False,False,False,False,False,"WIll better delineate the burden of clonal hematopoiesis in breast cancer patients, informing the risk of developing secondary malignancies and perhaps, risk of breast cancer recurrence associated with this novel biomarker. ",Yes,True,False,False,False,False,False,False,"WIll better delineate the burden of clonal hematopoiesis in breast cancer patients, informing the risk of developing secondary malignancies and perhaps, risk of breast cancer recurrence associated with this novel biomarker. ",No,False,False,False,False,False,False,False,,No,False,False,False,False,False,False,False,,No additional funding sources,,,,,,,,,,,,,,,,Yes,Additional funding would be used to support a research assistant to help collect follow up information on the study participants. ,No,,"I have participated in every Pedal the Cause ride since its inception. I have led teams from the MCC and led training rides for participants. I have been a ""Gold Jersey"" fundraiser for the ride in the past. ",No,No,,,True,In progress,,,,,
20,25.0,Progress Report #1,,,,,,,,,,,,,,,Presentation at the MCC CT2 lecture series in December of 2021. ,Securing NCI funding for the research project supported by the Pedal for Cause pilot project funding program. ,Yes,True,False,False,False,False,False,False,The project will deliver a rationally designed therapy for Ewing sarcoma Family of Tumors. ,No,False,False,False,False,False,False,False,,No,False,False,False,False,False,False,False,,No,False,False,False,False,False,False,False,,One,Awarded,NIH R01CA251414,2047950.0,,,,,,,,,,,,,Yes,Collect patient tumor samples to develop PDX models for drug testing,Yes,Collect patient tumor samples to develop PDX models for drug testing,I have supported a team of riders twice since 2019.,Yes,No,,Thank you for the support.,True,,,,,,
21,26.0,Progress Report #1,,,,,,,,,,,,,,,"Society for Interventional Oncology. Original Research Oral Presentation: Effects of Cryoablation on Hepatocellular Carcinoma Cancer Stem Cells and the Immune Response. (February 2, 2020) New Orleans, LA.  Best Basic Science Poster. ""Percutaneous Cryoablation and Combination Immunoadjuvant Therapy in a Mouse Model of Hepatocellular Carcinoma"" First author: Tyler Mandt. Society for Interventional Oncology Annual Meeting.","Editor's Award for Outstanding Laboratory Investigation. Stress Conditions Induced by Locoregional Therapies Stimulate Enrichment and Proliferations of Liver Cancer Stem Cells. Journal of Vascular Interventional Radiology (JVIR). 2020  Selected to participate in RSNA's 2020 Clinical Trials Methodology Workshop. January 11-17, 2020. Coronado, CA.",Yes,True,True,False,True,False,True,False,It will help to improve locoregional therapies for liver cancer by helping to understand the mechanisms of recurrence and how to reduce it.,No,False,False,False,False,False,False,False,,No,False,False,False,False,False,False,False,,No,False,False,False,False,False,False,False,,Two,Awarded,Department of Defense,250000.0,Submitted,NCI,200000.0,,,,,,,,,,Yes,Additional funding would allow us to expand our animal experiements further in order to identify whether combining cancer stem cell inhibitors with immunomodulatory agents would further reduce recurrence,Yes,We have a clinical trial grant that we would like to find funding for that looks at reducing recurrence of liver cancer with cryoablation and immunoadjuvants.  We have another one that uses prolonged nightly fasting to reduce recurrence.,yes - virtual rider and supporter,Yes,No,,,True,In progress,,In progress,,,
22,27.0,Progress Report #1,Published,10.1016/j.brachy.2021.07.001,,,,,,,,,,,,,"Oral presentations:  1.Kallis, K., Jyoti Mayadev, J., Kisling, K., Ray, X., Scanderbeg, D., Brown, D., Moore, K.L., Meyers, S.M. Knowledge-Based Models to Predict Needle Necessity in Cervical Brachytherapy: A Novel Tool to Assist Physician Decision-Making. 66th Annual Meeting of the Canadian Organization of Medical Physicists, Kelowna, Canada, 22-25 June 2021.  2.Cortes, K., Simon, A., Kallis, K., Mayadev, J., Meyers, S., Moore, K., Knowledge-Based Three-Dimensional Dose Prediction for Tandem-And-Ovoid Brachytherapy. Joint AAPM COMP Virtual Meeting, 12-16 July 2020, p. 53116.  3.Meyers, S.M., Yusufaly, T., Simon, A., Covele, B., Brown, D., Scanderbeg, D., Mayadev, J., Moore, K. Brachytherapy for Locally Advanced Cervical Cancer: Using Knowledge-based Models to Predict Dose to Critical Structures. 65th Annual Meeting of the Canadian Organization of Medical Physicists, Kelowna, Canada, 24-27 September 2019.    Poster presentations:  1.Kallis, K., Mayadev, J., Kisling, K., Ray, X., Scanderbeg, D., Brown, D., Yashar, C., Einck, J., Mell, L., Simon, A., Moore, K., Meyers, S. Feasibility of Knowledge-Based Dose Predictions to Inform Needle Supplementation in Cervical Brachytherapy. International Journal of Radiation Oncology Biology Physics 2021;111(3, Supplement):e136.  2.Kallis, K., Brown, D., Scanderbeg, D., Kisling, K., Covele, B., Simon, A., Yashar, C., Einck, J., Mell, L., Mayadev, J., Moore, K., Meyers, S. Can Knowledge-Based Dose Prediction Models Inform Brachytherapy Needle Decision-Making for Cervical Cancer? Joint AAPM COMP Virtual Meeting, 12-16 July 2020, p. 53379.   3.Kallis, K., Covele, B., Simon, A., Brown, D., Scanderbeg, D., Kisling, K., Yashar, C., Einck, J., Mell, L., Mayadev, J., Moore, K., Meyers, S. What Knowledge-Based Dose Prediction Models Tell Us About Ovoid Vs. Ring Based Brachytherapy Applicators. Joint AAPM COMP Virtual Meeting, 12-16 July 2020, p. 53457. (Blue Ribbon Poster)  4.Yusufaly, T., Simon, A., Hild, S., Brown, D., Scanderbeg, D., Mayadev, J., Moore, K., Meyers, S.M. A Knowledge-Based Organ Dose Prediction Tool for Brachytherapy Treatment of Cervical Cancer Patients. 61st Annual Meeting of the American Association of Physicists in Medicine, San Antonio, Texas, 14-18 July 2019.    ","Using the preliminary data collected with the help of this grant, I was able to apply for an NIH K award and received a very high score. I am still awaiting confirmation on whether my application was funded, which I should know by March 2022",Yes,True,True,True,False,True,True,False,"The tools developed from this work could result in patient receiving higher quality treatments with reduced toxicity, and reduce the time patients spend under anesthesia (and therefore reduce the chance of complication)",Yes,True,True,True,False,True,True,False,"These tools can help healthcare professionals with decision-making that impacts the quality and length of patient treatments, by helping them select appropriate brachytherapy devices to implant",Yes,True,True,True,False,True,True,False,"Automated planning could reduce the time patients spend under anesthesia, which reduces hospital resource usage and could reduce costs of brachytherapy procedures",Yes,True,True,True,False,False,False,False,"Currently, under-resourced centers (particularly in third world countries) are not offering brachytherapy, which is partly due to the hospital resources and clinician expertise required for these procedures. The tools developed in this work will improve the ease of this procedure through automation and decision-making guidance, which could allow more centers that lack expertise to offer this very necessary treatment for cervical cancer. ",No additional funding sources,,,,,,,,,,,,,,,,Yes,I would use the funding to hire personnel to develop and test the automated treatment planning. ,Yes,"Once automated treatment planning has been validated on retrospective data, we will need to perform a pilot study to test its efficacy in the clinic real-time, compared to current manual procedures. This will also allow us to determine whether the automation significantly reduces procedure time. Funding would allow us to hire personnel to carry out this pilot study. ","I participated in 2018 as a walker, 2019-20 as a rider and 2021 as a virtual rider. I will also ride in 2022. I have always enjoyed the event. It is well organized and promotes a very positive spirit towards fundraising for such an important cause. ",No,No,,The seed funding received from Padres Pedal the Cause was instrumental to me developing the preliminary data I needed to launch my career as an independent principal investigator and apply for NIH-level grants. I really appreciate Padres Pedal the Cause for supporting important research conducted at our institution! ,True,Published,10.1016/j.brachy.2020.04.008,Published,10.1016/j.semradonc.2020.05.009,Published,10.1016/j.brachy.2021.08.010
